product name,value to be included in the spreadsheet
ABB: UNO-2.0-TL-OUTD-S-US-C-M [240V],ABB__UNO_2_0_TL_OUTD_S_US_C_M__240V_
ABB: UNO-2.0-TL-OUTD-S-US-C-M [277V],ABB__UNO_2_0_TL_OUTD_S_US_C_M__277V_
ABB: UNO-2.0-TL-OUTD-S-US-C-M-A [208V],ABB__UNO_2_0_TL_OUTD_S_US_C_M_A__208V_
ABB: UNO-2.0-TL-OUTD-S-US-C-M-A [240V],ABB__UNO_2_0_TL_OUTD_S_US_C_M_A__240V_
ABB: UNO-2.0-TL-OUTD-S-US-C-M-A [277V],ABB__UNO_2_0_TL_OUTD_S_US_C_M_A__277V_
ABB: UNO-2.0-TL-OUTD-S-US-Z-A [208V],ABB__UNO_2_0_TL_OUTD_S_US_Z_A__208V_
ABB: UNO-2.0-TL-OUTD-S-US-Z-A [240V],ABB__UNO_2_0_TL_OUTD_S_US_Z_A__240V_
ABB: UNO-2.0-TL-OUTD-S-US-Z-A [277V],ABB__UNO_2_0_TL_OUTD_S_US_Z_A__277V_
ABB: UNO-2.0-TL-OUTD-S-US-Z-M-A [208V],ABB__UNO_2_0_TL_OUTD_S_US_Z_M_A__208V_
ABB: UNO-2.0-TL-OUTD-S-US-Z-M-A [240V],ABB__UNO_2_0_TL_OUTD_S_US_Z_M_A__240V_
ABB: UNO-2.0-TL-OUTD-S-US-Z-M-A [277V],ABB__UNO_2_0_TL_OUTD_S_US_Z_M_A__277V_
ABB: UNO-2.5-I-OUTD-S-US [208V],ABB__UNO_2_5_I_OUTD_S_US__208V_
ABB: UNO-2.5-I-OUTD-S-US [240V],ABB__UNO_2_5_I_OUTD_S_US__240V_
ABB: UNO-2.5-I-OUTD-S-US [277V],ABB__UNO_2_5_I_OUTD_S_US__277V_
ABB: UNO-3.0-TL-OUTD-S-US [208V],ABB__UNO_3_0_TL_OUTD_S_US__208V_
ABB: UNO-3.0-TL-OUTD-S-US [240V],ABB__UNO_3_0_TL_OUTD_S_US__240V_
ABB: UNO-3.0-TL-OUTD-S-US [277V],ABB__UNO_3_0_TL_OUTD_S_US__277V_
ABB: UNO-3.0-TL-OUTD-S-US-A [208V],ABB__UNO_3_0_TL_OUTD_S_US_A__208V_
ABB: UNO-3.0-TL-OUTD-S-US-A [240V],ABB__UNO_3_0_TL_OUTD_S_US_A__240V_
ABB: UNO-3.0-TL-OUTD-S-US-A [277V],ABB__UNO_3_0_TL_OUTD_S_US_A__277V_
ABB: UNO-3.0-TL-OUTD-S-US-B-C-M [208V],ABB__UNO_3_0_TL_OUTD_S_US_B_C_M__208V_
ABB: UNO-3.0-TL-OUTD-S-US-B-C-M [240V],ABB__UNO_3_0_TL_OUTD_S_US_B_C_M__240V_
ABB: UNO-3.0-TL-OUTD-S-US-B-C-M [277V],ABB__UNO_3_0_TL_OUTD_S_US_B_C_M__277V_
ABB: UNO-3.0-TL-OUTD-S-US-B-C-M-A [208V],ABB__UNO_3_0_TL_OUTD_S_US_B_C_M_A__208V_
ABB: UNO-3.0-TL-OUTD-S-US-B-C-M-A [240V],ABB__UNO_3_0_TL_OUTD_S_US_B_C_M_A__240V_
ABB: UNO-3.0-TL-OUTD-S-US-B-C-M-A [277V],ABB__UNO_3_0_TL_OUTD_S_US_B_C_M_A__277V_
ABB: UNO-3.0-TL-OUTD-S-US-B-M [208V],ABB__UNO_3_0_TL_OUTD_S_US_B_M__208V_
ABB: UNO-3.0-TL-OUTD-S-US-B-M [240V],ABB__UNO_3_0_TL_OUTD_S_US_B_M__240V_
ABB: UNO-3.0-TL-OUTD-S-US-B-M [277V],ABB__UNO_3_0_TL_OUTD_S_US_B_M__277V_
ABB: UNO-3.0-TL-OUTD-S-US-B-M-A [208V],ABB__UNO_3_0_TL_OUTD_S_US_B_M_A__208V_
ABB: UNO-3.0-TL-OUTD-S-US-B-M-A [240V],ABB__UNO_3_0_TL_OUTD_S_US_B_M_A__240V_
ABB: UNO-3.0-TL-OUTD-S-US-B-M-A [277V],ABB__UNO_3_0_TL_OUTD_S_US_B_M_A__277V_
ABB: UNO-3.0-TL-OUTD-S-US-C-M [208V],ABB__UNO_3_0_TL_OUTD_S_US_C_M__208V_
ABB: UNO-3.0-TL-OUTD-S-US-C-M [240V],ABB__UNO_3_0_TL_OUTD_S_US_C_M__240V_
ABB: UNO-3.0-TL-OUTD-S-US-C-M [277V],ABB__UNO_3_0_TL_OUTD_S_US_C_M__277V_
ABB: UNO-3.0-TL-OUTD-S-US-C-M-A [208V],ABB__UNO_3_0_TL_OUTD_S_US_C_M_A__208V_
ABB: UNO-3.0-TL-OUTD-S-US-C-M-A [240V],ABB__UNO_3_0_TL_OUTD_S_US_C_M_A__240V_
ABB: UNO-3.0-TL-OUTD-S-US-C-M-A [277V],ABB__UNO_3_0_TL_OUTD_S_US_C_M_A__277V_
ABB: UNO-3.0-TL-OUTD-S-US-Z-A [208V],ABB__UNO_3_0_TL_OUTD_S_US_Z_A__208V_
ABB: UNO-3.0-TL-OUTD-S-US-Z-A [240V],ABB__UNO_3_0_TL_OUTD_S_US_Z_A__240V_
ABB: UNO-3.0-TL-OUTD-S-US-Z-A [277V],ABB__UNO_3_0_TL_OUTD_S_US_Z_A__277V_
ABB: UNO-3.0-TL-OUTD-S-US-Z-M-A [208V],ABB__UNO_3_0_TL_OUTD_S_US_Z_M_A__208V_
ABB: UNO-3.0-TL-OUTD-S-US-Z-M-A [240V],ABB__UNO_3_0_TL_OUTD_S_US_Z_M_A__240V_
