,dhi,dirhi,pressure,temp_air,v_wind,z0
16.01.2012 11:00,78,258,1011340,3266666667,330237,15
16.01.2012 12:00,80,251,1009720,41,382982,15
16.01.2012 13:00,73,198,1009100,4966666667,334486,15
16.01.2012 14:00,60,107,1008490,4566666667,363437,15
16.01.2012 15:00,27,19,1008000,3516666667,392589,15
16.01.2012 16:00,0,0,1007180,85,4528,15
16.01.2012 17:00,0,0,1006490,-783333333,416639,15
16.01.2012 18:00,0,0,1006170,-165,399499,15
16.01.2012 19:00,0,0,1005180,-2433333333,42064,15
16.01.2012 20:00,0,0,1004240,-2766666667,391815,15
16.01.2012 21:00,0,0,1003220,-29,38743,15
16.01.2012 22:00,0,0,1002490,-2466666667,385719,15
16.01.2012 23:00,0,0,1001690,-2683333333,38125,15
17.01.2012 00:00,0,0,1001130,-255,359045,15
17.01.2012 01:00,0,0,1000970,-3933333333,323403,15
17.01.2012 02:00,0,0,1000710,-445,322512,15
17.01.2012 03:00,0,0,999985,-49,345795,15
17.01.2012 04:00,0,0,999296,-3716666667,327564,15
17.01.2012 05:00,0,0,998454,-255,364143,15
17.01.2012 06:00,0,0,997586,-2566666667,420541,15
17.01.2012 07:00,2,0,997003,-225,388459,15
17.01.2012 08:00,44,29,996742,-1616666667,358709,15
17.01.2012 09:00,90,93,996653,-316666667,321077,15
17.01.2012 10:00,159,99,996796,1233333333,31572,15
17.01.2012 11:00,180,79,997289,2166666667,361764,15
17.01.2012 12:00,163,126,998109,3233333333,420343,15
17.01.2012 13:00,134,117,999182,3983333333,465766,15
17.01.2012 14:00,75,84,1000440,3816666667,43672,15
17.01.2012 15:00,30,14,1001450,19,446257,15
17.01.2012 16:00,0,0,1002320,1,453384,15
17.01.2012 17:00,0,0,1003200,733333333,469809,15
17.01.2012 18:00,0,0,1004140,65,481,15
17.01.2012 19:00,0,0,1005040,5,495475,15
17.01.2012 20:00,0,0,1005850,183333333,519463,15
17.01.2012 21:00,0,0,1006620,4,549051,15
17.01.2012 22:00,0,0,1007250,-583333333,564877,15
17.01.2012 23:00,0,0,1007900,-65,561386,15
18.01.2012 00:00,0,0,1008520,-516666667,534364,15
18.01.2012 01:00,0,0,1009120,-9,504545,15
18.01.2012 02:00,0,0,1009700,-1033333333,473729,15
18.01.2012 03:00,0,0,1010250,-1016666667,447824,15
18.01.2012 04:00,0,0,1010690,-11,433678,15
18.01.2012 05:00,0,0,1011040,-14,430855,15
18.01.2012 06:00,0,0,1011360,-1233333333,429841,15
18.01.2012 07:00,3,0,1011680,-983333333,418766,15
18.01.2012 08:00,56,4,1011790,-683333333,40562,15
18.01.2012 09:00,116,8,1011730,183333333,406378,15
18.01.2012 10:00,188,73,1011680,1883333333,399534,15
18.01.2012 11:00,234,42,1011650,3416666667,381052,15
18.01.2012 12:00,196,6,1011630,4033333333,357232,15
18.01.2012 13:00,143,1,1011670,3666666667,336013,15
18.01.2012 14:00,57,0,1011820,3283333333,334143,15
18.01.2012 15:00,8,0,1012030,3866666667,325212,15
18.01.2012 16:00,0,0,1012450,4416666667,314971,15
18.01.2012 17:00,0,0,1012800,405,304678,15
18.01.2012 18:00,0,0,1013040,3816666667,296283,15
18.01.2012 19:00,0,0,1013160,3816666667,290629,15
18.01.2012 20:00,0,0,1013130,4166666667,289319,15
18.01.2012 21:00,0,0,1012880,4316666667,29096,15
18.01.2012 22:00,0,0,1012600,445,292453,15
18.01.2012 23:00,0,0,1012410,4616666667,289378,15
19.01.2012 00:00,0,0,1012310,4916666667,284453,15
19.01.2012 01:00,0,0,1012290,5,280408,15
19.01.2012 02:00,0,0,1012220,5166666667,281056,15
19.01.2012 03:00,0,0,1011940,5466666667,282883,15
19.01.2012 04:00,0,0,1011500,585,281427,15
19.01.2012 05:00,0,0,1011020,6366666667,277039,15
19.01.2012 06:00,0,0,1010540,7233333333,269923,15
19.01.2012 07:00,0,0,1010040,7916666667,256317,15
19.01.2012 08:00,3,0,1009530,8666666667,235189,15
19.01.2012 09:00,11,0,1009080,8933333333,212572,15
19.01.2012 10:00,31,0,1008910,9683333333,185404,15
19.01.2012 11:00,21,0,1008840,795,162363,15
19.01.2012 12:00,30,0,1008820,66,144663,15
19.01.2012 13:00,56,0,1008840,67,133006,15
19.01.2012 14:00,60,1,1008950,73,119528,15
19.01.2012 15:00,10,0,1008930,75,104389,15
19.01.2012 16:00,0,0,1008740,7083333333,915301,15
19.01.2012 17:00,0,0,1008560,6833333333,826393,15
19.01.2012 18:00,0,0,1008440,6633333333,82272,15
19.01.2012 19:00,0,0,1008360,635,90613,15
19.01.2012 20:00,0,0,1008220,64,974917,15
19.01.2012 21:00,0,0,1008070,63,101245,15
19.01.2012 22:00,0,0,1007830,5916666667,111068,15
19.01.2012 23:00,0,0,1007630,6033333333,127882,15
20.01.2012 00:00,0,0,1007470,51,142539,15
20.01.2012 01:00,0,0,1007420,3633333333,15017,15
20.01.2012 02:00,0,0,1007290,4166666667,154518,15
20.01.2012 03:00,0,0,1007050,4483333333,157852,15
20.01.2012 04:00,0,0,1006750,43,168595,15
20.01.2012 05:00,0,0,1006460,41,190787,15
20.01.2012 06:00,0,0,1006300,42,210232,15
20.01.2012 07:00,1,0,1006210,4383333333,232579,15
20.01.2012 08:00,37,0,1006130,4566666667,276796,15
20.01.2012 09:00,109,10,1005840,4766666667,326965,15
20.01.2012 10:00,50,3,1005580,39,330358,15
20.01.2012 11:00,83,9,1005480,3683333333,31261,15
20.01.2012 12:00,219,26,1005490,5183333333,304656,15
20.01.2012 13:00,126,14,1005620,44,319679,15
20.01.2012 14:00,24,0,1005930,2666666667,341622,15
20.01.2012 15:00,6,0,1006240,265,350667,15
20.01.2012 16:00,0,0,1006680,2666666667,356599,15
20.01.2012 17:00,0,0,1006970,2483333333,363112,15
20.01.2012 18:00,0,0,1007140,1716666667,366189,15
20.01.2012 19:00,0,0,1007320,12,359051,15
20.01.2012 20:00,0,0,1007420,1016666667,344357,15
20.01.2012 21:00,0,0,1007600,75,331102,15
20.01.2012 22:00,0,0,1007980,6,325664,15
20.01.2012 23:00,0,0,1008510,433333333,301849,15
21.01.2012 00:00,0,0,1009050,216666667,274409,15
21.01.2012 01:00,0,0,1009490,1133333333,257872,15
21.01.2012 02:00,0,0,1009880,2033333333,245544,15
21.01.2012 03:00,0,0,1010250,28,228275,15
21.01.2012 04:00,0,0,1010530,3,208152,15
21.01.2012 05:00,0,0,1010840,325,188718,15
21.01.2012 06:00,0,0,1011100,4216666667,174865,15
21.01.2012 07:00,0,0,1011470,535,147433,15
21.01.2012 08:00,0,0,1011720,6716666667,131423,15
21.01.2012 09:00,9,0,1011930,7716666667,116747,15
21.01.2012 10:00,30,0,1011970,8483333333,104706,15
21.01.2012 11:00,32,0,1011980,8983333333,133491,15
21.01.2012 12:00,66,0,1012020,945,153423,15
21.01.2012 13:00,125,0,1012250,9666666667,149559,15
21.01.2012 14:00,65,0,1012710,975,144693,15
21.01.2012 15:00,16,0,1013020,85,123475,15
21.01.2012 16:00,0,0,1013380,77,133461,15
21.01.2012 17:00,0,0,1013700,7333333333,140554,15
21.01.2012 18:00,0,0,1014060,7116666667,127323,15
21.01.2012 19:00,0,0,1014310,725,111462,15
